Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL2005828;;None;359.39;0;apr.42;SID103904329;Cc1ccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)cc1;Ki;'=';398.11;nM;jun.40;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;6.apr
CHEMBL1990496;;None;461.57;0;apr.64;SID103905562;Cn1c(NCC(N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O;Ki;'=';199.53;nM;jun.70;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;6.jul
CHEMBL1972937;;None;310.38;0;mar.59;SID103904703;COc1cccc(C=C2SC(=Nc3ccccc3)NC2=O)c1;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL1089101;;None;338.39;0;mar.28;SID103904692;NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCCN4)cc3F)nc12;Ki;'=';1995.26;nM;maj.70;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.jul
CHEMBL52387;(RS)-ROSCOVITINE;None;354.46;0;mar.20;SID103905125;CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL256835;;None;368.41;0;mar.63;SID103905255;COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(O)CC2)n1;Ki;'=';39.81;nM;jul.40;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;7.apr
CHEMBL2004438;;None;423.40;1;maj.54;SID103904371;Nc1c(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccc2nccnc12;Ki;'>';5011.87;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.mar
CHEMBL1995832;;None;440.45;0;mar.57;SID103904767;COc1nccn2c(-c3ccnc(NCC(C)(C)CO)n3)c(-c3ccc(F)cc3F)nc12;Ki;'=';794.33;nM;6.okt;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;6.jan
CHEMBL1991725;;None;479.58;0;apr.45;SID103904474;CN(C)CC(=O)NC(COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL1968151;;None;269.29;0;jan.69;SID103904980;O=c1[nH]c2sccc2c2nc(-c3ccncc3)nn12;Ki;'=';6309.57;nM;maj.20;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.feb
CHEMBL2003817;;None;333.27;0;mar.69;SID103904890;O=C(Nc1cnccn1)Nc1ccnc2cc(C(F)(F)F)ccc12;Ki;'=';1995.26;nM;maj.70;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.jul
CHEMBL1825138;;None;450.35;1;5.apr;SID103905247;CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl;Ki;'>';10000.0;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.0
CHEMBL1966279;;None;477.55;0;feb.47;SID103905097;NCCCNS(=O)(=O)c1cccc(C(=O)Nc2ccc(-c3n[nH]c(=O)c4ccccc34)cc2)c1;Ki;'=';1584.89;nM;maj.80;;active;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.avg
CHEMBL2007375;;None;370.33;0;apr.66;SID103904894;CC#Cc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1;Ki;'>';5011.87;nM;;;inactive;UO_0000065;;;;;0;CHEMBL1964101;PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: MAP4K4;F;BAO_0000019;assay format;None;None;None;None;None;;;;CHEMBL6166;Mitogen-activated protein kinase kinase kinase kinase 4;Homo sapiens;SINGLE PROTEIN;CHEMBL1201862;7;PubChem BioAssays;;;None;;;;5.mar
